"","year","trait","TP","Qsd1Train","Family","Qsd1","correlation","Spearman_Cor","n_test","n_train","fold","trainingProportion"
"197","2021","GE","TP1",0,"Scala/DH130910",0,0.216623404474208,0.196435272045028,40,14,25,40
"198","2021","GE","TP1",0,"Scala/DH130910",2,0.0473600166545493,0.0967721026704693,57,14,25,40
"199","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.613544605746902,0.615406162464986,35,13,25,40
"200","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.420447451192346,0.410718886903526,68,13,25,40
"201","2021","GE","TP1",0,"Overall",0,0.433152907413411,0.40055981754095,105,40,26,40
"202","2021","GE","TP1",0,"Overall",2,0.328113632704928,0.360089306223218,208,40,26,40
"203","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.0066206329469439,0.082258064516129,31,12,26,40
"204","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0321883964854966,0.0273505947910885,82,12,26,40
"205","2021","GE","TP1",0,"Scala/DH130910",0,0.295316727605514,0.304048582995951,39,15,26,40
"206","2021","GE","TP1",0,"Scala/DH130910",2,0.0881256098270478,0.180710396681359,57,15,26,40
"207","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.594496082779255,0.617086834733894,35,13,26,40
"208","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.432665484671895,0.476185022973004,68,13,26,40
"209","2021","GE","TP1",0,"Overall",0,0.388756456074604,0.405504872486005,105,40,27,40
"210","2021","GE","TP1",0,"Overall",2,0.120293456533343,0.146581156546936,208,40,27,40
"211","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.161076828472364,0.266009852216749,29,14,27,40
"212","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.18732909119383,0.0957651745192151,82,14,27,40
"213","2021","GE","TP1",0,"Scala/DH130910",0,0.404349649053696,0.331519699812383,40,14,27,40
"214","2021","GE","TP1",0,"Scala/DH130910",2,0.01345263765945,0.0488073632356754,57,14,27,40
"215","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.334305542030799,0.298584298584299,36,12,27,40
"216","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.118559362146575,0.182598986523818,68,12,27,40
"217","2021","GE","TP1",0,"Overall",0,0.343950919255119,0.325129587393738,105,40,28,40
"218","2021","GE","TP1",0,"Overall",2,0.358871586775898,0.420760729798691,208,40,28,40
"219","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.00609742630698895,-0.000492610837438423,29,14,28,40
"220","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.03831080400012,-0.000859807794865097,82,14,28,40
"221","2021","GE","TP1",0,"Scala/DH130910",0,0.209802218984136,0.23539421440726,42,12,28,40
"222","2021","GE","TP1",0,"Scala/DH130910",2,0.211650835523358,0.260046668395126,57,12,28,40
"223","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.470442432324439,0.549274255156608,34,14,28,40
"224","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.434178608492082,0.553713724055867,68,14,28,40
"225","2021","GE","TP1",0,"Overall",0,0.362613678071511,0.35388762181215,105,40,29,40
"226","2021","GE","TP1",0,"Overall",2,0.336598458856651,0.391783214043915,208,40,29,40
"227","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.230408287653107,0.311831550802139,33,10,29,40
"228","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.176051496851474,0.133009000772739,82,10,29,40
"229","2021","GE","TP1",0,"Scala/DH130910",0,0.212684316500453,0.327643432906591,37,17,29,40
"230","2021","GE","TP1",0,"Scala/DH130910",2,0.222001156355943,0.240731138190303,57,17,29,40
"231","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.569555810875657,0.520728291316527,35,13,29,40
"232","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.285727893431907,0.326433622506204,68,13,29,40
"233","2021","GE","TP1",0,"Overall",0,0.339289821653037,0.297905867717188,105,40,30,40
"234","2021","GE","TP1",0,"Overall",2,0.111488989500015,0.179608590173192,208,40,30,40
"235","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.191265246401527,0.335706340378198,30,13,30,40
"236","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.114283762504483,0.07095046854083,82,13,30,40
"237","2021","GE","TP1",0,"Scala/DH130910",0,0.284718164661357,0.110104529616725,41,13,30,40
"238","2021","GE","TP1",0,"Scala/DH130910",2,0.0776725068185146,0.102216748768473,57,13,30,40
"239","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.39693296236915,0.483269671504966,34,14,30,40
"240","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.136512506036688,0.232108944822426,68,14,30,40
"241","2021","GE","TP1",0,"Overall",0,0.480572456402288,0.457619738751814,105,40,31,40
"242","2021","GE","TP1",0,"Overall",2,0.302596894189161,0.279839056770543,208,40,31,40
"243","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.260102558177676,0.368965517241379,29,14,31,40
"244","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.132570056534212,0.0883207627256996,82,14,31,40
"245","2021","GE","TP1",0,"Scala/DH130910",0,0.360642517402689,0.308704453441296,39,15,31,40
"246","2021","GE","TP1",0,"Scala/DH130910",2,0.03721841331185,0.100012963443091,57,15,31,40
"247","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.534637561296744,0.509483167377904,37,11,31,40
"248","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.342750638673284,0.321394829525929,68,11,31,40
"249","2021","GE","TP1",0,"Overall",0,0.307369978000933,0.32322206095791,105,40,32,40
"250","2021","GE","TP1",0,"Overall",2,0.338652462599763,0.362041588002555,208,40,32,40
"251","2021","GE","TP1",0,"SY_Tepee/DH130910",0,-0.0960662409744778,-0.0431451612903226,31,12,32,40
"252","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.141003807490788,0.124389155538142,82,12,32,40
"253","2021","GE","TP1",0,"Scala/DH130910",0,0.1666392804841,0.147560975609756,41,13,32,40
"254","2021","GE","TP1",0,"Scala/DH130910",2,0.277429693565885,0.278260305937257,57,13,32,40
"255","2021","GE","TP1",0,"Wintmalt/DH130910",0,0.403666402506105,0.444852941176471,33,15,32,40
"256","2021","GE","TP1",0,"Wintmalt/DH130910",2,0.326918008100947,0.33723648927452,68,15,32,40
"257","2021","GE","TP1",0,"Overall",0,0.488940645750625,0.459402861289654,105,40,33,40
"258","2021","GE","TP1",0,"Overall",2,0.245913323376127,0.295537322553572,208,40,33,40
"259","2021","GE","TP1",0,"SY_Tepee/DH130910",0,0.0770218448807514,0.151612903225806,31,12,33,40
"260","2021","GE","TP1",0,"SY_Tepee/DH130910",2,0.0990274470333738,0.0560616449537989,82,12,33,40
"261","2021","GE","TP1",0,"Scala/DH130910",0,0.388940271282414,0.2703081232493,35,19,33,40
