"","Family","Qsd1","correlation","trait","Population","Model"
"70","Scala/DH130910","Overall",0.758951020605178,"TP3_GI","Full","Base"
"71","SY_Tepee/DH130910","0",0.246749672620259,"TP3_GI","Full","Base"
"72","SY_Tepee/DH130910","2",0.124184606671404,"TP3_GI","Full","Base"
"73","SY_Tepee/DH130910","Overall",0.846934955072481,"TP3_GI","Full","Base"
"74","Wintmalt/DH130910","0",0.645338438843795,"TP3_GI","Full","Base"
"75","Wintmalt/DH130910","2",0.313034513013042,"TP3_GI","Full","Base"
"76","Wintmalt/DH130910","Overall",0.893393846869142,"TP3_GI","Full","Base"
"77","DH130910","2",NA,"TP3_GI","Full","Base"
"78","DH130910","Overall",NA,"TP3_GI","Full","Base"
"79","Flavia/DH130910","2",0.325236505353223,"TP3_GI","Full","Base"
"80","Flavia/DH130910","Overall",0.325236505353223,"TP3_GI","Full","Base"
"81","Overall","0",0.341825123824319,"TP3_GI","Full","Base"
"82","Overall","2",0.435288164246408,"TP3_GI","Full","Base"
"83","Overall","Overall",0.85695850339604,"TP3_GI","Full","Base"
"84","Scala/DH130910","0",0.255133202940715,"TP3_GI","Full","Base"
"85","Scala/DH130910","2",0.344953615344984,"TP3_GI","Full","Base"
"86","Scala/DH130910","Overall",0.829958277014087,"TP3_GI","Full","Base"
"87","SY_Tepee/DH130910","0",0.277511241820128,"TP3_GI","Full","Base"
"88","SY_Tepee/DH130910","2",0.654651783351027,"TP3_GI","Full","Base"
"89","SY_Tepee/DH130910","Overall",0.930345407087575,"TP3_GI","Full","Base"
"90","Wintmalt/DH130910","0",0.475971756832755,"TP3_GI","Full","Base"
"91","Wintmalt/DH130910","2",0.431756264318252,"TP3_GI","Full","Base"
"92","Wintmalt/DH130910","Overall",0.826653325892564,"TP3_GI","Full","Base"
"93","Flavia/DH130910","2",0.125859366553685,"TP3_GI","Full","Base"
"94","Flavia/DH130910","Overall",0.125859366553685,"TP3_GI","Full","Base"
"95","Overall","0",0.353516991792463,"TP3_GI","Full","Base"
"96","Overall","2",0.510670398091596,"TP3_GI","Full","Base"
"97","Overall","Overall",0.888536636430289,"TP3_GI","Full","Base"
"98","Scala/DH130910","0",0.154917706785547,"TP3_GI","Full","Base"
